Item #,Product Name,Additional Description,Thickness,SheetCount,Features,Product Color,Additional Product Color,Additional Product Color2,Imprint options,Imprint_Options_2,Location1,Location2  ,Location3,Location4,Point Style_1,Ink_Color_1,Point Style_2,Ink_Color_2,Ink_Options,Pricing Info,Production time,Imprint Info,Product Dimensions,US  Patent,Recycle  Info,Shipping  Info,Pack Qty,Pack Weight,Icons,Page Number
4C,BIC? 4-Color? Pen,,,,Four different ink colors  in one pen! |Multi-functional design,"Black, Blue, Green, Red",Pen color is white.  Includes all 4 ink colors.,,"Screen Printing (SP): Price includes a 1-color barrel imprint. 2 colors available.  Add $.12(C) per pen for second imprint color. See diagrams for imprint areas, location and number of colors.",,"SP: 1 3/4""W x 1 1/16""H (max. 2 colors)",,,,Medium Point,"Black, Blue, Red, Green",,,Includes all 4 ink colors.,,5 working days.,,"5/8""W x 5 11/16""H",,,,300,9 lbs (approx.),24,65
4CL,BIC? 4-Color? Pen with Lanyard,,,,Attached lanyard with  break-away feature |Four different ink colors  in one pen! |Multi-functional design,"Black, Blue, Green, Red",Pen color is white.  Includes all 4 ink colors. 4CL includes black lanyard.,,"Screen Printing (SP): Price includes a 1-color barrel imprint. 2 colors available.  Add $.12(C) per pen for second imprint color. See diagrams for imprint areas, location and number of colors.",,"SP: 1 3/4""W x 1 1/16""H (max. 2 colors)",,,,Medium Point   ,"Black, Blue, Red, Green",,,Includes all 4 ink colors.,,5 working days.,,"5/8""W x 5 11/16""H",,,,300,13 lbs (approx.),,65
ATS,BIC Atlantis? Stic,,,,Super-smooth writing|Clear barrel for visible ink supply|Soft cushion grip|Ventilated cap,"Black, Blue",Choose 1 trim/grip color.  All include clear barrel.  Ink matches trim/grip color.,,"Screen Printing (SP): Price includes a 1-color barrel imprint. 1 color available on barrel, 1 color on clip. Add $.12(C) for clip imprint. See diagram for imprint area, location and number of colors.",," 1""W x 3/4""H (max. 1 color)","3/4W x 3/16""H (max.  1 color)""",,,Medium Point,"Black, Blue",,,Ink matches trim/grip color.,,5 working days.,,"5/8""W x 5 3/4""H",,,,300,9 lbs (approx.),24 ^EG,25
ATT,Attriant?,,,,Linear patterned grip and polished-chrome trim |Refillable Retractable ballpoint |Black velour sleeve included ,"Black, Navy, Silver",Choose 1 barrel color.  All include polished chrome?plated clip and trim.,,"Laser Engraving (LE): Price includes 1 line of repeating copy or personalization on barrel. Gray colorfill included on silver finish only.   Add $.60(G) per pen for second location or personalization.  New Optional 330§ Laser Engraving: Barrel-1 1/2""W x 1 1/8""H; $50(G) set-up charge. $.60(G) running charge per pen. PhotoFast Emblems: Clip-$2.50(G) each. Set-up charge for new orders only: $18.00(G).  See diagram for imprint area, location and number of colors.",,"LE: 1 1/2""W x 1/2""H (max. 1 color)",,,,Medium Point,Black,Gel Ink,Black,Gel ink option.  Add $.55(G) per pen.  Please allow additional working days on your order.,,5 working days.,,"19/32""W x 5 17/32""H","U.S. Patent Nos. Des. 567,854",,,100,8 lbs (approx.),24,93
B3,BIC? BIC3,,,,3-in-1 multi-functional application |Switches from a red  ballpoint pen to a black ballpoint pen to a .5mm mechanical pencil with  a simple twist,"Solid Gray, Translucent Green, Translucent Blue",Pens include frosted clear cap and grip. Solid gray pen includes a black grip. ,,"Screen Printing (SP): Price includes a 1-color cap imprint.  3 colors available on cap, 1 color on clip.  Add $.12(C) per pen for each additional imprint color or clip imprint.  See diagrams for imprint areas,    location and number of colors.",,"SP: 1 1/8""W x 5/16""H (max. 3 colors)","SP: 1""W x 7/64""H (max. 1 color)",,,Medium Point      ,"Black, Red",,,Includes both ink colors and .5mm lead pencil.,,5 working days.,,"23/32""W x 5 17/32""H",,,,100,4 lbs (approx.),24,71
B4A6A150,"4"" x 6"" Adhesive Beveled Notepads",150 sheet pad,,150,Choose from eleven stock shapes or create your own custom-shaped beveled notepad|Always in stock,,,,"4-Color Process (4CP): Price includes a free 4-color process imprint. See page 217 for standard imprint colors. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com.",,,,,,,,,,,"When ordering between quantity breaks, order must be placed in 250-piece increments.",5 working days.,,"4"" x 6"" ",,,,42,19 lbs (approx.),USA ^24,123
B4A6A150ECO,"4"" x 6"" Adhesive Beveled Notepads with Recycled Content option",150 sheet pad,,150,Choose from eleven stock shapes or create your own custom-shaped beveled notepad|Always in stock,,,,"4-Color Process (4CP): Price includes a free 4-color process imprint. See page 217 for standard imprint colors. Full bleeds available. For art templates and a full selection of stock backgrounds, visit product page at www.bicgraphic.com.",,,,,,,,,,,"When ordering between quantity breaks, order must be placed in 250-piece increments.",5 working days.,,"4"" x 6"" ",,,,42,19 lbs (approx.),USA ^24,123
BCCBG,BIC? Broadcaster? ,,,,"Always in stock |Compact, two-piece design |Soft, rubber grip ","Black, Navy, White","Choose 1 barrel, 1 grip and 1 cap/clip color.  White caps  may be mixed with any color clip",,Screen Printing (SP): Price includes a 1-color imprint on cap or barrel. 4 colors available on cap or barrel. Maximum of 2 colors on cap and 2 colors on barrel. Total of 3 colors on cap/barrel with clip imprint.  Add $.12(C) per pen for each additional imprint color and location.  Add $.12(C) per pen for clip imprint.  Imprint is put on cap unless otherwise specified.  See diagrams for imprint area and location.,,"SP: 1 5/8""W x 1""H","SP: 1 1/2""W x 15/16""H ","SP: 3/4""W x 5/32""H 
(max.1 color)",,Medium Point,Black,,,,,5 working days.,,"3/4""W x 5 5/32""H",,,,300,9 lbs (approx.),24,24
BCRBG,BIC? Broadcaster ? Rope,,,,"Always in stock |Soft, rubber grip |Compact, two-piece design Rope attachment with multiple breakaway features for added safety","Black, Navy, White",Choose pen color.  All include black rubber grip and white rope,,Screen Printing (SP): Price includes a 1-color imprint on cap or barrel. 4 colors available on cap or barrel. Maximum of 2 colors on cap and 2 colors on barrel.  Add $.12(C) per pen for each additional imprint color and location.  Imprint is put on cap unless otherwise specified.  See diagrams for imprint area and location.,,"SP: 1 5/8""W x 1""H","SP: 1 1/2""W x 15/16""H ",,,Medium Point,Black,,,BIC? Easy-Glide  System? Ink option.  Add $.05(G) per pen.,,5 working days.,,"3/4""W x 5 5/32""H",,,,300,12 lbs (approx.),24,24
BLG,BIC? Brite Liner? Grip,,,,Bright barrel and ink colors |Includes gray textured rubber grip |Multiple imprint options,"Blue, Green, Orange, Pink, Yellow",Choose 1 highlighter color.  All include gray textured rubber grip and matching clip.  Ink color matches highlighter color. Please specify your assortment for the 3 or 5 pack.,,"Screen Printing (SP): Price includes a 1-color barrel or cap imprint. 4 colors available in any barrel/cap combination.  Add $.12(C) per highlighter for each additional imprint color.  Add $.12(C)  per highligher for each color in second location.  Imprint is put  on cap unless otherwise specified.   See diagram for imprint areas, location and number of colors.",,"SP: 1 1/2""W x 5/8""H 
(max. 4 colors)
(Default) ",(max. 4 colors),,,Highlighter,"Blue, Green, Orange, Pink, Yelow",,,Ink matches highlighter color,,5 working days.,,"5/8""W x 5 1/2""H",,,,400,11 lbs (approx.),24,72
